tokens,upos,deprel,head_tags,deprel_tags,upos_tags
"['A', 'aposta', 'de', 'a', 'manchete', 'de', 'o', 'jornal', 'destoa', 'de', 'a', 'reportagem', 'principal', ',', 'que', 'destacou', 'as', 'duas', 'acusações', '(', '""', 'Temer', 'obstruiu', 'investigação', 'e', 'chefiou', 'quadrilha', '""', ',', 'diz', 'Janot', ')', '.']","['DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'ADJ', 'PUNCT', 'PRON', 'VERB', 'DET', 'NUM', 'NOUN', 'PUNCT', 'PUNCT', 'PROPN', 'VERB', 'NOUN', 'CCONJ', 'VERB', 'NOUN', 'PUNCT', 'PUNCT', 'VERB', 'PROPN', 'PUNCT', 'PUNCT']","['det', 'nsubj', 'case', 'det', 'nmod', 'case', 'det', 'nmod', 'root', 'case', 'det', 'obl', 'amod', 'punct', 'nsubj', 'acl:relcl', 'det', 'nummod', 'obj', 'punct', 'punct', 'nsubj', 'ccomp:speech', 'obj', 'cc', 'conj', 'obj', 'punct', 'punct', 'parataxis', 'nsubj', 'punct', 'punct']","[2, 9, 5, 5, 2, 8, 8, 5, 0, 12, 12, 9, 12, 16, 16, 12, 19, 19, 16, 30, 23, 23, 30, 23, 26, 23, 26, 23, 23, 16, 30, 30, 9]","[0, 1, 8, 0, 13, 8, 0, 13, 2, 8, 0, 9, 10, 5, 1, 20, 0, 19, 3, 5, 5, 1, 21, 3, 12, 11, 3, 5, 5, 22, 1, 5, 5]","[0, 1, 5, 0, 1, 5, 0, 1, 2, 5, 0, 1, 6, 3, 12, 2, 0, 11, 1, 3, 3, 9, 2, 1, 7, 2, 1, 3, 3, 2, 9, 3, 3]"
"['É', 'preciso', 'sacrificar', 'uma', 'parte', 'de', 'as', 'horas', 'de', 'lazer', 'para', 'dar', 'esse', 'upgrade', 'em', 'as', 'qualificações', '.']","['AUX', 'ADJ', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']","['cop', 'root', 'csubj', 'det', 'obj', 'case', 'det', 'nmod', 'case', 'nmod', 'mark', 'advcl', 'det', 'obj', 'case', 'det', 'obl', 'punct']","[2, 0, 2, 5, 3, 8, 8, 5, 10, 8, 12, 2, 14, 12, 17, 17, 12, 2]","[17, 2, 23, 0, 3, 8, 0, 13, 8, 13, 6, 7, 0, 3, 8, 0, 9, 5]","[10, 6, 2, 0, 1, 5, 0, 1, 5, 1, 5, 2, 0, 1, 5, 0, 1, 3]"
"['A', 'ideia', 'surgiu', 'porque', 'eu', 'tinha', 'uma', 'placa', 'para', 'jogo', '.']","['DET', 'NOUN', 'VERB', 'SCONJ', 'PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT']","['det', 'nsubj', 'root', 'mark', 'nsubj', 'advcl', 'det', 'obj', 'case', 'nmod', 'punct']","[2, 3, 0, 6, 6, 3, 8, 6, 10, 8, 3]","[0, 1, 2, 6, 1, 7, 0, 3, 8, 13, 5]","[0, 1, 2, 4, 12, 2, 0, 1, 5, 1, 3]"
"['Defendeu', 'mais', 'quem', 'ficou', 'esperando', 'em', 'o', 'meio', 'de', 'o', 'gol', '(', '22', '%', ')', '.']","['VERB', 'ADV', 'PRON', 'VERB', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'NUM', 'SYM', 'PUNCT', 'PUNCT']","['root', 'advmod', 'nsubj', 'acl:relcl', 'xcomp', 'case', 'det', 'obl', 'case', 'det', 'nmod', 'punct', 'parataxis', 'nmod', 'punct', 'punct']","[0, 1, 1, 3, 4, 8, 8, 5, 11, 11, 8, 13, 1, 13, 13, 1]","[2, 14, 1, 20, 4, 8, 0, 9, 8, 0, 13, 5, 22, 13, 5, 5]","[2, 8, 12, 2, 2, 5, 0, 1, 5, 0, 1, 3, 11, 13, 3, 3]"
"['Cozinhar', ',', 'detesto', 'e', 'não', 'sei', '.']","['VERB', 'PUNCT', 'VERB', 'CCONJ', 'ADV', 'VERB', 'PUNCT']","['xcomp', 'punct', 'root', 'cc', 'advmod', 'conj', 'punct']","[3, 1, 0, 6, 6, 3, 3]","[4, 5, 2, 12, 14, 11, 5]","[2, 3, 2, 7, 8, 2, 3]"
"['Jogo', 'de', 'Copa', 'de', 'o', 'Mundo', ',', 'vale', 'quatro', '.']","['NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'PROPN', 'PUNCT', 'VERB', 'NUM', 'PUNCT']","['nsubj', 'case', 'nmod', 'case', 'det', 'nmod', 'punct', 'root', 'obj', 'punct']","[8, 3, 1, 6, 6, 3, 1, 0, 8, 8]","[1, 8, 13, 8, 0, 13, 5, 2, 3, 5]","[1, 5, 1, 5, 0, 9, 3, 2, 11, 3]"
"['Em', 'críticas', 'internas', ',', 'por', 'diversas', 'vezes', 'exemplifiquei', 'tratamentos', 'diferenciados', 'que', 'a', 'Folha', 'deu', 'a', 'situações', 'que', 'podem', 'ser', 'interpretadas', 'como', 'correspondentes', '.']","['ADP', 'NOUN', 'ADJ', 'PUNCT', 'ADP', 'DET', 'NOUN', 'VERB', 'NOUN', 'ADJ', 'PRON', 'DET', 'PROPN', 'VERB', 'ADP', 'NOUN', 'PRON', 'VERB', 'AUX', 'VERB', 'ADP', 'NOUN', 'PUNCT']","['case', 'obl', 'amod', 'punct', 'case', 'det', 'obl', 'root', 'obj', 'amod', 'obj', 'det', 'nsubj', 'acl:relcl', 'case', 'obl', 'nsubj', 'acl:relcl', 'aux:pass', 'xcomp', 'case', 'obl', 'punct']","[2, 8, 2, 2, 7, 7, 8, 0, 8, 9, 14, 13, 14, 9, 16, 14, 18, 16, 20, 18, 22, 20, 8]","[8, 9, 10, 5, 8, 0, 9, 2, 3, 10, 3, 0, 1, 20, 8, 9, 1, 20, 24, 4, 8, 9, 5]","[5, 1, 6, 3, 5, 0, 1, 2, 1, 6, 12, 0, 9, 2, 5, 1, 12, 2, 10, 2, 5, 1, 3]"
"['Os', 'únicos', 'que', 'não', 'fazem', 'cocô', 'em', 'a', 'avenida', 'são', 'os', 'cavalos', 'de', 'a', 'rainha', 'Elizabeth', '!']","['PRON', 'ADJ', 'PRON', 'ADV', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'AUX', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PROPN', 'PUNCT']","['nsubj', 'amod', 'nsubj', 'advmod', 'acl:relcl', 'obj', 'case', 'det', 'obl', 'cop', 'det', 'root', 'case', 'det', 'nmod', 'nmod', 'punct']","[12, 1, 5, 5, 1, 5, 9, 9, 5, 12, 12, 0, 15, 15, 12, 15, 12]","[1, 10, 1, 14, 20, 3, 8, 0, 9, 17, 0, 2, 8, 0, 13, 13, 5]","[12, 6, 12, 8, 2, 1, 5, 0, 1, 10, 0, 1, 5, 0, 1, 9, 3]"
"['Esse', 'é', 'um', 'trunfo', 'também', 'de', 'a', 'Gourmet', 'Square', ',', 'o', 'espaço', 'gastronômico', 'para', '500', 'pessoas', 'em', 'que', 'o', 'ar-condicionado', 'é', 'tão', 'ou', 'mais', 'valioso', 'de', 'o', 'que', 'suas', 'guloseimas', '.']","['PRON', 'AUX', 'DET', 'NOUN', 'ADV', 'ADP', 'DET', 'PROPN', 'PROPN', 'PUNCT', 'DET', 'NOUN', 'ADJ', 'ADP', 'NUM', 'NOUN', 'ADP', 'PRON', 'DET', 'NOUN', 'AUX', 'ADV', 'CCONJ', 'ADV', 'ADJ', 'ADP', 'PRON', 'PRON', 'DET', 'NOUN', 'PUNCT']","['nsubj', 'cop', 'det', 'root', 'advmod', 'case', 'det', 'nmod', 'flat:name', 'punct', 'det', 'appos', 'amod', 'case', 'nummod', 'nmod', 'case', 'obl', 'det', 'nsubj', 'cop', 'advmod', 'cc', 'conj', 'acl:relcl', 'mark', 'fixed', 'fixed', 'det', 'advcl', 'punct']","[4, 4, 4, 0, 4, 8, 8, 4, 8, 12, 12, 8, 12, 16, 16, 12, 18, 25, 20, 25, 25, 25, 24, 22, 12, 30, 26, 26, 30, 25, 4]","[1, 17, 0, 2, 14, 8, 0, 13, 15, 5, 0, 25, 10, 8, 19, 13, 8, 9, 0, 1, 17, 14, 12, 11, 20, 6, 26, 26, 0, 7, 5]","[12, 10, 0, 1, 8, 5, 0, 9, 9, 3, 0, 1, 6, 5, 11, 1, 5, 12, 0, 1, 10, 8, 7, 8, 6, 5, 12, 12, 0, 1, 3]"
"['Ele', 'queria', 'que', 'fosse', 'suspenso', 'um', 'critério', 'adotado', 'para', 'os', 'leilões', 'de', 'os', 'aeroportos', '.']","['PRON', 'VERB', 'SCONJ', 'AUX', 'VERB', 'DET', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']","['nsubj', 'root', 'mark', 'aux:pass', 'ccomp', 'det', 'nsubj:pass', 'acl', 'case', 'det', 'obl', 'case', 'det', 'nmod', 'punct']","[2, 0, 5, 5, 2, 7, 5, 7, 11, 11, 8, 14, 14, 11, 2]","[1, 2, 6, 24, 16, 0, 27, 18, 8, 0, 9, 8, 0, 13, 5]","[12, 2, 4, 10, 2, 0, 1, 2, 5, 0, 1, 5, 0, 1, 3]"
"['É', 'interessante', 'colocar', '5', '%', ',', 'e', 'depois', 'ir', 'aumentando', '.']","['AUX', 'ADJ', 'VERB', 'NUM', 'SYM', 'PUNCT', 'CCONJ', 'ADV', 'AUX', 'VERB', 'PUNCT']","['cop', 'root', 'csubj', 'nummod', 'obj', 'punct', 'cc', 'advmod', 'aux', 'conj', 'punct']","[2, 0, 2, 5, 3, 10, 10, 10, 10, 3, 2]","[17, 2, 23, 19, 3, 5, 12, 14, 28, 11, 5]","[10, 6, 2, 11, 13, 3, 7, 8, 10, 2, 3]"
"['Nuzman', 'tentou', 'pagar', 'advogado', 'criminal', 'com', 'recursos', 'de', 'a', 'Rio-2016', '.']","['PROPN', 'VERB', 'VERB', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADP', 'DET', 'PROPN', 'PUNCT']","['nsubj', 'root', 'xcomp', 'obj', 'amod', 'case', 'obl', 'case', 'det', 'nmod', 'punct']","[2, 0, 2, 3, 4, 7, 3, 10, 10, 7, 2]","[1, 2, 4, 3, 10, 8, 9, 8, 0, 13, 5]","[9, 2, 2, 1, 6, 5, 1, 5, 0, 9, 3]"
"['O', 'estudante', 'de', 'engenharia', 'química', 'Leandro', 'Battisti', 'Justo', ',', '26', ',', 'respira', 'fundo', 'a', 'o', 'telefone', '.']","['DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PROPN', 'PROPN', 'PROPN', 'PUNCT', 'NUM', 'PUNCT', 'VERB', 'ADV', 'ADP', 'DET', 'NOUN', 'PUNCT']","['det', 'nsubj', 'case', 'nmod', 'amod', 'nmod', 'flat:name', 'flat:name', 'punct', 'parataxis', 'punct', 'root', 'advmod', 'case', 'det', 'obl', 'punct']","[2, 12, 4, 2, 4, 2, 6, 6, 10, 6, 10, 0, 12, 16, 16, 12, 12]","[0, 1, 8, 13, 10, 13, 15, 15, 5, 22, 5, 2, 14, 8, 0, 9, 5]","[0, 1, 5, 1, 6, 9, 9, 9, 3, 11, 3, 2, 8, 5, 0, 1, 3]"
"['Leandro', 'foi', 'um', 'de', 'os', 'primeiros', 'a', 'saber', 'de', 'a', 'notícia', ',', 'mas', 'custou', 'a', 'acreditar', '.']","['PROPN', 'AUX', 'NUM', 'ADP', 'DET', 'NUM', 'ADP', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT', 'CCONJ', 'VERB', 'ADP', 'VERB', 'PUNCT']","['nsubj', 'cop', 'root', 'case', 'det', 'nmod', 'mark', 'acl', 'case', 'det', 'obl', 'punct', 'cc', 'conj', 'mark', 'xcomp', 'punct']","[3, 3, 0, 6, 6, 3, 8, 6, 11, 11, 8, 14, 14, 3, 16, 14, 3]","[1, 17, 2, 8, 0, 13, 6, 18, 8, 0, 9, 5, 12, 11, 6, 4, 5]","[9, 10, 11, 5, 0, 11, 5, 2, 5, 0, 1, 3, 7, 2, 5, 2, 3]"
"['Em', 'os', 'banheiros', 'masculinos', ',', 'há', 'vazamento', 'em', 'vasos', 'sanitários', 'em', 'as', 'estações', 'Brooklin', 'e', 'Alto', 'de', 'a', 'Boa', 'Vista', '.']","['ADP', 'DET', 'NOUN', 'ADJ', 'PUNCT', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'PROPN', 'CCONJ', 'PROPN', 'ADP', 'DET', 'PROPN', 'PROPN', 'PUNCT']","['case', 'det', 'obl', 'amod', 'punct', 'root', 'obj', 'case', 'nmod', 'amod', 'case', 'det', 'obl', 'nmod', 'cc', 'conj', 'case', 'det', 'flat:name', 'flat:name', 'punct']","[3, 3, 6, 3, 3, 0, 6, 9, 7, 9, 13, 13, 6, 13, 16, 14, 19, 19, 16, 16, 6]","[8, 0, 9, 10, 5, 2, 3, 8, 13, 10, 8, 0, 9, 13, 12, 11, 8, 0, 15, 15, 5]","[5, 0, 1, 6, 3, 2, 1, 5, 1, 6, 5, 0, 1, 9, 7, 9, 5, 0, 9, 9, 3]"
"['As', 'privatizações', 'de', 'Anhembi', 'e', 'Interlagos', 'ainda', 'precisam', 'passar', 'por', 'a', 'avaliação', 'de', 'os', 'vereadores', '.']","['DET', 'NOUN', 'ADP', 'PROPN', 'CCONJ', 'PROPN', 'ADV', 'VERB', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']","['det', 'nsubj', 'case', 'nmod', 'cc', 'conj', 'advmod', 'root', 'xcomp', 'case', 'det', 'obl', 'case', 'det', 'nmod', 'punct']","[2, 8, 4, 2, 6, 4, 8, 0, 8, 12, 12, 9, 15, 15, 12, 8]","[0, 1, 8, 13, 12, 11, 14, 2, 4, 8, 0, 9, 8, 0, 13, 5]","[0, 1, 5, 9, 7, 9, 8, 2, 2, 5, 0, 1, 5, 0, 1, 3]"
"['Eles', 'foram', 'vendidos', 'a', 'um', 'fundo', 'de', 'investimento', ',', 'que', 'repassou', 'parte', 'de', 'os', 'valores', '.']","['PRON', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'PRON', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']","['nsubj:pass', 'aux:pass', 'root', 'case', 'det', 'obl', 'case', 'nmod', 'punct', 'nsubj', 'acl:relcl', 'obj', 'case', 'det', 'nmod', 'punct']","[3, 3, 0, 6, 6, 3, 8, 6, 11, 11, 6, 11, 15, 15, 12, 3]","[27, 24, 2, 8, 0, 9, 8, 13, 5, 1, 20, 3, 8, 0, 13, 5]","[12, 10, 2, 5, 0, 1, 5, 1, 3, 12, 2, 1, 5, 0, 1, 3]"
"['Falta', ',', 'em', 'a', 'equação', ',', 'alguém', 'com', 'dinheiro', 'capaz', 'de', 'esperar', '20', ',', '30', 'anos', 'por', 'o', 'retorno', '.']","['VERB', 'PUNCT', 'ADP', 'DET', 'NOUN', 'PUNCT', 'PRON', 'ADP', 'NOUN', 'ADJ', 'ADP', 'VERB', 'NUM', 'PUNCT', 'NUM', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']","['root', 'punct', 'case', 'det', 'obl', 'punct', 'nsubj', 'case', 'nmod', 'amod', 'mark', 'acl', 'nummod', 'punct', 'conj', 'obj', 'case', 'det', 'obl', 'punct']","[0, 5, 5, 5, 1, 5, 1, 9, 7, 7, 12, 10, 16, 15, 13, 12, 19, 19, 12, 1]","[2, 5, 8, 0, 9, 5, 1, 8, 13, 10, 6, 18, 19, 5, 11, 3, 8, 0, 9, 5]","[2, 3, 5, 0, 1, 3, 12, 5, 1, 6, 5, 2, 11, 3, 11, 1, 5, 0, 1, 3]"
"['A', 'diferença', 'é', 'que', 'ele', 'vinha', 'em', 'uma', 'curva', 'ascendente', ',', 'enquanto', 'o', 'atual', 'prefeito', 'vem', 'em', 'a', 'descendente', '.']","['DET', 'NOUN', 'AUX', 'SCONJ', 'PRON', 'VERB', 'ADP', 'DET', 'NOUN', 'ADJ', 'PUNCT', 'SCONJ', 'DET', 'ADJ', 'NOUN', 'VERB', 'ADP', 'PRON', 'ADJ', 'PUNCT']","['det', 'nsubj:outer', 'cop', 'mark', 'nsubj', 'root', 'case', 'det', 'obl', 'amod', 'punct', 'mark', 'det', 'amod', 'nsubj', 'advcl', 'case', 'obl', 'amod', 'punct']","[2, 6, 6, 6, 6, 0, 9, 9, 6, 9, 16, 16, 15, 15, 16, 6, 18, 16, 18, 6]","[0, 29, 17, 6, 1, 2, 8, 0, 9, 10, 5, 6, 0, 10, 1, 7, 8, 9, 10, 5]","[0, 1, 10, 4, 12, 2, 5, 0, 1, 6, 3, 4, 0, 6, 1, 2, 5, 12, 6, 3]"
"['Um', 'é', 'a', 'segurança', ';', 'o', 'outro', 'é', 'a', 'liberdade', '.']","['PRON', 'AUX', 'DET', 'NOUN', 'PUNCT', 'DET', 'PRON', 'AUX', 'DET', 'NOUN', 'PUNCT']","['nsubj', 'cop', 'det', 'root', 'punct', 'det', 'nsubj', 'cop', 'det', 'conj', 'punct']","[4, 4, 4, 0, 10, 7, 10, 10, 10, 4, 4]","[1, 17, 0, 2, 5, 0, 1, 17, 0, 11, 5]","[12, 10, 0, 1, 3, 0, 12, 10, 0, 1, 3]"
"['Finalmente', 'parece', 'que', 'em', 'este', 'ano', 'vai', 'virar', 'uma', 'realidade', ',', 'mas', 'vamos', 'ter', 'que', 'esperar', 'para', 'ver', '.']","['ADV', 'VERB', 'SCONJ', 'ADP', 'DET', 'NOUN', 'AUX', 'VERB', 'DET', 'NOUN', 'PUNCT', 'CCONJ', 'AUX', 'VERB', 'ADP', 'VERB', 'ADP', 'VERB', 'PUNCT']","['advmod', 'root', 'mark', 'case', 'det', 'obl', 'aux', 'csubj', 'det', 'obj', 'punct', 'cc', 'aux', 'conj', 'mark', 'xcomp', 'mark', 'advcl', 'punct']","[2, 0, 8, 6, 6, 8, 8, 2, 10, 8, 14, 14, 14, 2, 16, 14, 18, 16, 2]","[14, 2, 6, 8, 0, 9, 28, 23, 0, 3, 5, 12, 28, 11, 6, 4, 6, 7, 5]","[8, 2, 4, 5, 0, 1, 10, 2, 0, 1, 3, 7, 10, 2, 5, 2, 5, 2, 3]"
